file_path,file_name,source_area,line_number,variable_name,variable_style,extraction_type,likely_role,module_hint,context
lib\storage\generalOverheadStorage.js,generalOverheadStorage.js,lib,92,updated_at,snake_case,object_key,object_field,general-overheads,"created_at: parsed.created_at || fallback_state.created_at, updated_at: parsed.updated_at || parsed.created_at || fallback_state.updated_at,"
lib\storage\generalOverheadStorage.js,generalOverheadStorage.js,lib,49,vehicle_consumables_cost_annual,snake_case,object_key,object_field,general-overheads,"vehicle_tyres_cost_annual: 0, vehicle_consumables_cost_annual: 0,"
lib\storage\generalOverheadStorage.js,generalOverheadStorage.js,lib,45,vehicle_maintenance_cost_annual,snake_case,object_key,object_field,general-overheads,"vehicle_running_cost_annual: 0, vehicle_maintenance_cost_annual: 0, vehicle_repairs_cost_annual: 0,"
lib\storage\generalOverheadStorage.js,generalOverheadStorage.js,lib,47,vehicle_registration_cost_annual,snake_case,object_key,object_field,general-overheads,"vehicle_repairs_cost_annual: 0, vehicle_registration_cost_annual: 0, vehicle_tyres_cost_annual: 0,"
lib\storage\generalOverheadStorage.js,generalOverheadStorage.js,lib,46,vehicle_repairs_cost_annual,snake_case,object_key,object_field,general-overheads,"vehicle_maintenance_cost_annual: 0, vehicle_repairs_cost_annual: 0, vehicle_registration_cost_annual: 0,"
lib\storage\generalOverheadStorage.js,generalOverheadStorage.js,lib,44,vehicle_running_cost_annual,snake_case,object_key,object_field,general-overheads,"fuel_cost_annual: 0, vehicle_running_cost_annual: 0, vehicle_maintenance_cost_annual: 0,"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,147,vehicle_running_costs,snake_case,quoted_object_key,object_field,general-overheads,"return ""travel""; case ""vehicle_running_costs"": return ""vehicles_running"";"
lib\storage\generalOverheadStorage.js,generalOverheadStorage.js,lib,48,vehicle_tyres_cost_annual,snake_case,object_key,object_field,general-overheads,"vehicle_registration_cost_annual: 0, vehicle_tyres_cost_annual: 0, vehicle_consumables_cost_annual: 0,"
components\general-overheads\GeneralOverheadReclassificationSection.jsx,GeneralOverheadReclassificationSection.jsx,components,23,vehicles_running,snake_case,quoted_object_key,object_field,general-overheads,"case ""vehicles_running"": return ""Redistribute the fixed P&L vehicle running cost pool into fuel, repairs / maintenance, and registration / compliance. The total remains locked to the P&L source amount."";"
components\general-overheads\GeneralOverheadStatusStrip.jsx,GeneralOverheadStatusStrip.jsx,components,26,warning_count,snake_case,snake_case_reference,warning_id,general-overheads,"<span className=""ui-pill""> {is_ready ? ""Ready"" : `${warning_count} warnings`} </span>"
