"module_name","variable_name","audit_status","same_variable_exists_in_brief","brief_lookup_column_used","brief_modules_or_files_with_same_variable","pass_3_review_type","recommended_decision","reviewer_notes","code_files","notes"
"general-overheads","current_overhead_state","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"general-overheads","employee_overheads_check","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\reconciliation\reconciliationRules.js","implemented_contract_not_documented_in_brief"
"general-overheads","general_overheads","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","app\cost-summary\page.jsx | components\model-readiness\ModelReadinessAuditPanel.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"general-overheads","overhead_state","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useGeneralOverheads.js | lib\selectors\general-overheads\generalOverheadCardSelector.js","implemented_contract_not_documented_in_brief"
"general-overheads","pool_key","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","components\general-overheads\GeneralOverheadSummaryCard.jsx","implemented_contract_not_documented_in_brief"
"general-overheads","system_allocation_amount_overrides","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"labour","build_active_labour_rate_model_for_calculation","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\rate-builder\useRateBuilderLabourRates.js","implemented_contract_not_documented_in_brief"
"labour","build_all_labour_type_rows","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","build_cost_allocation_output_contract","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\rate-builder\useRateBuilderLabourRates.js | lib\selectors\rate-builder\rateBuilderLabourModelSelectors.js","implemented_contract_not_documented_in_brief"
"labour","build_labour_rate_result_metrics","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\rate-builder\useRateBuilderLabourRates.js","implemented_contract_not_documented_in_brief"
"labour","build_labour_type_rows_by_class","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","build_productive_labour_type_rows","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","build_support_labour_type_rows","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","cost_allocation","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\rate-builder\useRateBuilderLabourRates.js | lib\selectors\rate-builder\rateBuilderLabourModelSelectors.js","implemented_contract_not_documented_in_brief"
"labour","get_nested_value","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\selectors\rate-builder\rateBuilderLabourSourceSelectors.js","implemented_contract_not_documented_in_brief"
"labour","labour","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","app\cost-summary\page.jsx | hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"labour","labour_based","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useRevenueReality.js | lib\calculations\recoverySummaryCalculations.js","implemented_contract_not_documented_in_brief"
"labour","labour_data","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"labour","labour_pct","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\selectors\quickStartSelectors.js","implemented_contract_not_documented_in_brief"
"labour","labour_profiles","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useEmployeeOverheads.js","implemented_contract_not_documented_in_brief"
