module_name,variable_name,likely_role,variable_style,occurrence_count,source_areas,source_files,first_seen_file,first_seen_line,extraction_types,notes
employee-overheads-legacy,Saved,object_field,PascalCase,1,components,components\employee-overheads\EmployeeOverheadStatusStrip.jsx,components\employee-overheads\EmployeeOverheadStatusStrip.jsx,36,quoted_object_key,legacy_module_review_required
employee-overheads-legacy,Selected,object_field,PascalCase,1,components,components\employee-overheads\EmployeeOverheadStatusStrip.jsx,components\employee-overheads\EmployeeOverheadStatusStrip.jsx,30,quoted_object_key,legacy_module_review_required
employee-overheads-legacy,amount_annual,object_field,snake_case,3,components | lib,components\employee-overheads\EmployeeOverheadCustomList.jsx | lib\storage\employeeOverheadProfileStorage.js,components\employee-overheads\EmployeeOverheadCustomList.jsx,88,object_key,appears_in_multiple_files | legacy_module_review_required
employee-overheads-legacy,contract,object_field,plain,1,components,components\employee-overheads\EmployeeOverheadHelpPanel.jsx,components\employee-overheads\EmployeeOverheadHelpPanel.jsx,42,object_key,legacy_module_review_required
employee-overheads-legacy,created_at,object_field,snake_case,5,lib,lib\storage\employeeOverheadLibraryStorage.js | lib\storage\employeeOverheadProfileStorage.js,lib\storage\employeeOverheadLibraryStorage.js,48,object_key,appears_in_multiple_files | legacy_module_review_required
employee-overheads-legacy,currency,object_field,plain,3,components,components\employee-overheads\EmployeeOverheadCustomList.jsx | components\employee-overheads\EmployeeOverheadLibraryCard.jsx | components\employee-overheads\EmployeeOverheadSummaryCard.jsx,components\employee-overheads\EmployeeOverheadCustomList.jsx,8,object_key,appears_in_multiple_files | legacy_module_review_required
employee-overheads-legacy,custom_assignment_rows,object_field,snake_case,3,hooks | lib,hooks\useEmployeeOverheads.js | lib\storage\employeeOverheadProfileStorage.js,hooks\useEmployeeOverheads.js,201,object_key,appears_in_multiple_files | legacy_module_review_required
employee-overheads-legacy,default_amount_annual,object_field,snake_case,2,components | lib,components\employee-overheads\EmployeeOverheadLibraryCard.jsx | lib\storage\employeeOverheadLibraryStorage.js,components\employee-overheads\EmployeeOverheadLibraryCard.jsx,121,object_key,appears_in_multiple_files | legacy_module_review_required
employee-overheads-legacy,effective_from,object_field,snake_case,2,hooks | lib,hooks\useEmployeeOverheads.js | lib\storage\employeeOverheadProfileStorage.js,hooks\useEmployeeOverheads.js,246,object_key,appears_in_multiple_files | legacy_module_review_required
employee-overheads-legacy,maximumFractionDigits,object_field,camelCase,3,components,components\employee-overheads\EmployeeOverheadCustomList.jsx | components\employee-overheads\EmployeeOverheadLibraryCard.jsx | components\employee-overheads\EmployeeOverheadSummaryCard.jsx,components\employee-overheads\EmployeeOverheadCustomList.jsx,9,object_key,appears_in_multiple_files | legacy_module_review_required
employee-overheads-legacy,md,object_field,plain,3,components,components\employee-overheads\EmployeeOverheadCustomList.jsx | components\employee-overheads\EmployeeOverheadLibraryCard.jsx,components\employee-overheads\EmployeeOverheadCustomList.jsx,68,object_key,appears_in_multiple_files | legacy_module_review_required
employee-overheads-legacy,ok,object_field,plain,2,components,components\employee-overheads\EmployeeOverheadStatusStrip.jsx,components\employee-overheads\EmployeeOverheadStatusStrip.jsx,31,quoted_object_key,legacy_module_review_required
employee-overheads-legacy,phone_allowance_annual,object_field,snake_case,1,lib,lib\storage\employeeOverheadProfileStorage.js,lib\storage\employeeOverheadProfileStorage.js,49,object_key,legacy_module_review_required
employee-overheads-legacy,ppe_cost_annual,object_field,snake_case,1,lib,lib\storage\employeeOverheadProfileStorage.js,lib\storage\employeeOverheadProfileStorage.js,47,object_key,legacy_module_review_required
employee-overheads-legacy,profile_version,object_field,snake_case,1,hooks,hooks\useEmployeeOverheads.js,hooks\useEmployeeOverheads.js,146,object_key,legacy_module_review_required
employee-overheads-legacy,training_cost_annual,object_field,snake_case,1,lib,lib\storage\employeeOverheadProfileStorage.js,lib\storage\employeeOverheadProfileStorage.js,46,object_key,legacy_module_review_required
employee-overheads-legacy,updated_at,object_field,snake_case,10,hooks | lib,hooks\useEmployeeOverheads.js | lib\storage\employeeOverheadLibraryStorage.js | lib\storage\employeeOverheadProfileStorage.js,hooks\useEmployeeOverheads.js,221,object_key,appears_in_multiple_files | legacy_module_review_required
general-overheads,actions,output_contract_field,plain,1,hooks,hooks\useGeneralOverheads.js,hooks\useGeneralOverheads.js,721,object_key,downstream_contract_candidate
